id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
62;The male tears in the comments give me lifeðŸ˜‚;0;0;0;0
63;They're not ''abortion rights''.;0;0;0;0
64;this comment section is the reason women still donâ€™t have the same rights as men.;0;1;0;0
65;Equal gender rights already exist;0;0;0;0
66;PEACE AND SECURITY  PERPETUAL DARKNESS IN A PERPETUAL UNIVERSE...AS A FALLING PERPETUAL FEELING...UNTIL u ARE REMEMBERED...FOR ALL SOULS THAT HAVE EVER SEXUALLY ABUSED A CHILD AND SACRIFICED A CHILD...AND MAN OR WOMEN SATISFYING THEIR SEXUAL PERVERSIONS WITH ANIMALS...NO MERCY    ...FEEL THE EARTH  SHAKING ?  NEXT STORM,STORMS COMING ARE LOOKING FOR  you ...THAT LIGHTNING STRIKE IS SEARCHING FOR  u...THERE IS NO PLACE TO HIDE...THE CHILD COULD NOT HIDE  ...FEEL THE THUNDERING ROAR RUMBLE TOWARDS u ? ...PERPETUAL DARK UNIVERSE  NO STARS ...FEEL THE RUMBLE COMING...NOT EVEN DEATH CAN HIDE u...THE DESIRE WILL BE ERASED FROM your DNA...   WEATHER CHANNEL WONT SEE IT COMING,BUT u WILL ...FINALLY WOMEN AND CHILDREN WILL LAUGH AND SHINE...BECAUSE THAT THUNDERSTORM...IS COMING ...CONFESS TO YOUR LOCAL NEWS AND LOCAL LAW ...IT IS NOT A SENTENCE TO DEATH...BUT TO LIFE  TO THIS WORLD,A HAPPY LIFE...IS IT TOO LATE ?  NO...HEAR THE ROAR... RUMBLE OF NEXT STORM COMING ...;0;0;0;0
67;This really messed it up with women today. They used to be able to be lazy but now they have to work like men which is what they fought for. Regardless there's always pros and cons to things.;0;0;1;0
68;Honestly now i wish we had Hillary i really wanted Donald but now i regret it honestly maybe we would have woman's rights if we had her.;0;1;0;0
69;Funny that they didn't fight for the right to be drafted.;0;0;0;0
70;You guys wanna hear a joke:  Women's rights;0;0;1;0
71;1st wave feminism: -we want to be equal to men;0;0;1;0
72;You should take a look at how discord takes on women rights;0;0;0;0
73;"€¢SP,""Feminist before: Good women, fight with right way, unite to fight for woman's right Feminist now: Men=Free Slave, Women=Queen""";0;0;1;0
74;Ahh the 60s back when feminism had a purpose. ;0;0;1;0
75;Haha, I love to see all of these professional sandwich makers become united like this... it inspires me to try new things like becoming a meninist...;0;0;1;1
76;People should have rights,  and even women should too;0;0;1;0
77;,Feminism Comes From Karl Marx.. Marxism..;0;0;0;0
78;ewww;0;0;0;0
79;Want to hear a joke women's rights want to hear another they think they got them;0;0;1;0
80;Women are against women's rights more than anyone. If you're a not a married women pumping out babies, cooking, cleaning, being nice, mothering everyone, etc. Too funny. :);0;0;1;0
81;Now men are house wives waiting for the woman (bread winner) to return with her hard hat and boots...from one extreme to the nextâš–ï¸;0;0;1;0
82;A man's right is the woman's right;0;0;0;0
83;Why are dishwashers screaming;0;0;1;0
84;FEMINIST HAHAAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAAHHAHAHAHAHAHAHAHHHAHAHAHAHAHAHAHAHAHAHHHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH lol;0;0;0;0
85;Society will be doomed forever if women are given sociopolitical leadership.;0;0;1;0
86;Is there anything more cringey than the safest, most privileged class of people on earth, North American white women, complaining about how hard life is for them? They are literally living the safest and most prosperous existence in human history.;0;0;1;0
87;... Iâ€™m kind of annoyed;0;0;0;0
88;And to think Hillary Clinton was going to be the 1st women president. Americans are so used to guys being presidents we tossed Hillary to the side I know imma get backlash for this but idc and idgaf.;0;0;1;0
89;Women: EQUAL RIGHTS! Men: Sure, what about equal responsibilities?;0;0;1;0
90;Women right's lmao that's a funny jokeðŸ˜‚;0;0;1;0
91;women March for themselves that's the way they have always been just me me me me when is the abuse on men by women going to stop you never see them bringing that up but if a man marches he doesn't just do it for himself he does it for his family and the female population or he will be deemed sexist women in the United States are the most privileged and yet all they do is complain it has really come down to in this Society that we really don't need women anymore they have showed us that we can get along without them;0;0;1;1
92;Women rights more like women lefts;0;0;1;0
93;€™s listen trump is maybe gonna take womanâ€™s rights away so those who are 18+ please vote blue;0;0;0;0
94;Women's rights are human rights. Women are human too.;1;1;0;0
95;They shoulda never given women their freedoms... Women in their place I say!;0;0;1;0
96;1.6MILLION baby's killed in America every year from abortions.  This makes women the most dangers people in america. abortions never been about  choice. It's about escaping the consequences of your choices. What about the baby girls right inside you?;0;0;1;0
