"id;text;Support_Women;Defense_Womenl;Offense_Women;Defense_Against_Women"
"80;I don't get why everyone should step in?  She handled it just fine herself!  But I've seen real sexual harassment on subways before and observed people ignoring it.  In NYC that's how it is...or how it was when I was there.  It's like that 1967 film The Incident.1;0;0;0"
"81;Lmfao these guy ran yall news channels;0;0;0;0"
"82;As she should purrr;1;1;0;0"
"83;Men don't do anything cos they dont have female privilege.;0;0;1;1"
"84;Us New Yorkers don't care;0;0;0;0"
"85;bruh aint no new yorkers care😂 just waisted your time;0;0;0;0"
"86;This is a no no😤;0;0;0;0"
"87;""You don't create solutions by perpetuating the problem, no one's going to get involved in domestic violence especially with people who have no self-respect which clearly the attire of one woman and the actions of the man speak for themselves, you're on your own!  This is why millennials are the worst generation ever"";0;0;0;0"
"88;That’s more like groping. This is disgusting…;0;0;0;0"
"89;I usually knew it from Beginning it was fake because his face I remember he is from Tiktok;0;0;0;0"
"90;but if the roles were reversed everyone would be to the woman’s rescue;0;0;0.5;1"
"91;Thank goodness it was fake;0;0;0;0"
"92;No way princezee and Daniel Jean;0;0;0;0"
"93;I got straight PTSD for men constantly bothering me I'm extremely beautiful sure but it's not as Glory as people make it out to be;0;1;0;0"
"94;Is that even a clothe she is wearing;0;0;1;0"
"95;It's a social experiment;0;0;;0;0"
"96;I know this two;0;0;0;0"
"97;Look the proble is if u stude up u will get in trouble;0;0;0;0"
"98;No that dude that slap the girl ass are pranking people they are friends;0;0;0;0"
"99;Her dress is not right at first;0;0;1;0"
"100;What is his YouTube channel;0;0;0;0"
"101;They are actors go to the instagram;0;0;0;0"
"102;Why�;0;0;0;0"
"103;GUYS ITS FAKE DONT BELIVE ITS FROM SOCIAL EXPERIMENT VIDEO WHY TF NEWS ARE TOO MUCH DRAMA AND ADDING UNREAL THING;0;0;0;0"
"104;Both Cornballs;0;0;0;0"
"105;It’s not apathy - she didn’t ask for help and she took care of the offender. This is bogus and insulting to all New Yorkers!!;1;0;0;0"
"106;Already recording yea why would people step in cause they know it’s fake ass as shit.;0;0;0;0"
"107;But what's up with that outfit?;0;0;1;0"
"108;Bad attitude black w;0;0;0;0"
"109;He slapped her once. ONCE!;0;0;0;1"
"110;""This is stupid, nobody else was touching her, they're creating the problem that they're """"exposing""""."";0;0;0;0"
"111;I’ll never step in to protect a female I don’t know. I’m just gonna pretend like I don’t see nothing.;0;0;0;1"
"112;The did nothing bc she was black now if she was white it would be a whole other story;0;1;0;0"
"113;Her fault for dressing inappropriately;0;0;1;0"
"114;Nobody does this shit;0;0;0;0"
"115;""People are not obligated to help no one. Even if you are dying splashing with blood in front of me, I as a human being are not required to help you. That's entirely your fault for not staying out of trouble and laying low. Just live a normal life don't expect anything from anyone. Stop being a baby. Grow up. Society has mistaken kindness with obligation. And... I would love to remind you bad people are majority and kind people are very very very rare. Those social experiment are pointless useless.;0;0;0;0"
"116;Why would she even wear that in the bus anyways? Stupid;0;0;1;0"
"117;""She's too nasty. I don't usually blame the female, but her outfit is too extreme and her shaking her rear = really is flaunting it."";0;0;1;0"
"118;""If you don't wanna be catcalled and it annoys you, THEN DONT WEAR A VERY EXPOSING OUTFIT!! SIMPLE AS THAT!!!"";0;0;1;0.5"
