id,text,Support_Women,Defense_Women,Offense_Women,Defense_Against_Women,,,,,,,,,,,,,,,,,,,,,,
71,Why can't I attack back if the women attack first?,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
72,Weak..but not surprising…,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
73,BUUUUU,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
74,WOMAN POWER! I'm a feminist,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
75,Its equal we cant hit you we treat you bad,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
76,I honestly dont know what I was thinking 4months ago I deleted the comment for my brain cells' sake,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
77,Hahaha there are more dislikes then likes,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
78,can i use ur video,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
79,0:10 yea in today's time womens are treat with such equality and justice that people just forget men's equality rights. If a man harasses a women -thats a big issue If a women harasses a man- society does not even care. This is dogshit,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
80,The first woman came from a man...just a reminder.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
81,Guys who have agree with this are Simps,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
82,Stfu,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
83,Gross,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
84,Wow just wow this makes me want to throw up. I'm a female and everybody should know that it takes a man and a woman to make a child. Men should have a say in whether or not their child is born. And if y'all are so for women's rights you should be against abortion because It kill so many women they don't have a choice if they live or die.,0,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,
85,Thank you... Vegans!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
86,This is so cool! now i know the environment they are living in,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
87,Good stuff keep it up unicef i like that orangise they are doing good job for people and women,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
88,good staff UNICEF,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
89,Good stuff,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
90,Hello,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
91,Thanks a lot A very nice topic and  video,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
92,Please add real Closed Captions (not auto-generated ones) to make this accessible!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
93,The UN: makes this video. Also the UN: ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
94,helloooo,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
95,Hi! Can anyone tell me who made this animation? If it was an individual or an agency? I love the animation style and would love to learn how to do this style!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
96,oh my god this is just like in love live and persona 5 xD,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
97,My mother was locked up in a Dementia unit with the help of The Oamaru Police in New Zealand so her daughter can get her murderer husband out of a Texas Jail early. SHAME on The Oamaru Police in New Zealand.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
98,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
99,So much help during this pandamic thanks,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
100,how come sometimes boys kiss women they dont know and its ‚Äúassault‚Äù but when women do it its not. makes no sense,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
101,Very informational!,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
102,All Women should be respected despite of their  nationality and status in life.,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
103,Renz A.Balantac,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
104,I love my teacher and my online class so i want to share my results,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
105,Yop outtive it sphe class,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
106,Let Women first know their Statutory  and Constitutional  right which will definitely  empower them in adversary. We salute dedicated women,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
107,Salve prof,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
108,watch for online class. never give up girls !,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
109,Fun fact. My wife bought a brand new Toyota SUV that is was very nice. With in just three months she had four accidents. It's not nice anymore.,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,
110,"""Ah I got glass in my eyes""",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
111,Please don't touch me,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
112,the most annoying part is that most women don't admit faulty after the accident happened,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
113,Nice driving,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
114,Women drivers are real life bots,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
115,woman + car = crash,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
116,Now I see the Saudi's reasoning,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
117,"""There's been no brain admitted.""",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
118,Ur damaging my property,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
119,5:09 that poor officer. I feel the need to be thank every cop for their service when I see one. Just for putting up with these women,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
120,7:25 She knows to turn on hazard lights,0,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,
121,Please dont touch my property . This aint even my car lol.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
122,God,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
123,Bahahaha 1:05 she tries to break the fall of a 2 ton vehicle with her hands!!,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
124,"""Don't touch me or my property unless there has been NO crime committed......"" You claim there has been no crime",0,0.2,0,0.1,,,,,,,,,,,,,,,,,,,,,,
125,"Women be like: ""whoopsies",0,0,0.3,0,,,,,,,,,,,,,,,,,,,,,,
126,4:06 ~ 7:07 I miss Thanos.  That woman wastes police force so much. These police should be more helpful for other emergency.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
127,Men Choose To Drive Badly Sadly Women Don't Have That Choice.,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
128,"women be like ""i got glass in my eyes im dying""",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
129,So this is Girl v/s boy,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
130,this was,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
131,19 dislikes must say thats the society . we have really problems.,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
132,<3 TK,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
133,Love this so accurate and the voice over is so clear with terrific vocabulary,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
134,"I yearn for true gender equality. I have no patience for one who talks about female privilege when it suits them and then complains about someone ""not being a man"" when it's convenient!",0,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,
135,very elaborate. Thanks,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
136,Emily Doe,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
137,Thanks üôè,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
138,All we need is chad fathers,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
139,i feel like this story has MAJOR gaps. this is clearly on from the perspective of a couple in a small  village.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
140,I wrote and directed a full-length drama (‚ÄúTulips‚Äù,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
141,If I get caught cheating on my girlfriend and she shoots me is it domestic violence?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
142,Most accurate video,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
143,Very Nice,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
144,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
145,What country is this supposed to be addressing?    This is not accurate of the US in 2021.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
146,I wish I was a woman,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
147,There is nothing like men and women ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
148,It hurts cause i am a girl,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
149,I got soo mad at the guy until my slow brain realized it was an experiment,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
150,The slap she gave him was Real AF lol but yea she handled it the way most New York women would she must be from BK lol,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
151,Even if the situation was real,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
152,No one needed to step in because the lady handled it perfectly. Slap his shit,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
153,There was this one time I was sitting next to this man under the influence  ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
154,I heard him say ‚Äúwhy you wearing that‚Äù not matter what their wearing it dosent give you the god damn right to do that,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
155,It's New York,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
156,What if the situation was reversed and we had a dude with his sausage hanging out in the wild? I bet he would have gotten arrested for showing too much.,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
157,She handled it. Why should I step in?,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
158,Honestly it looked like she had it under control,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
159,Those slaps were a commitment to acting,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
160,I did a 4 month internship at NYC. Almost daily you see so many crazy things & sometimes you just couldn't   care less. All you want to do is get home safely lol,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
161,Nobody needs to step in if she already checked you. A better way to do this experiment would be to not have the woman hit him back,0,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,
162,0:05 seeeet . üòÇüòÇ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
163,I was so mad at this guy then I realized  that this is a social experimentüòÜ,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
164,When he slapped her in the () I was like: omg this b DID HE JUST- WHYY,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
165,I was about to rage when the man said it was an social experiment,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
166,0:14 plsss lol,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
167,I thought the experiment was just the lady walking in the subway seeing if someone would do something,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
168,a new york version of what would you do ?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
169,I love how this dude is enduring all the pain to do these skits.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
170,Shit,0,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,
171,In a way,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
172,Why would anyone step in. She handled herself. What is there to step in on?,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,
173,IA27:A121 would have probably fallen for this trick lmao,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
174,When I had lost weight and had a nice body I was walking to the corner store wearing leggings and a hoodie and some guy grabbed my ass I was shook and angry,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
175,how they gonna do something when the girl defended herself,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
176,The big buff dude slung the guy like a rag doll!üòÇ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
177,Hahahahahahaha 0:04,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
178,ŸÉŸÅÿ§ÿ§ÿ§üòÇüòÇ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
179,i wonder how that guy survives all that shit like that slap tho,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
180,The slap was real,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
181,he's going to pay out the ass for this one.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
182,The only experiment here is how many clicks can they get. B.S. fake outrage videos.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
183,So if someone also joined the girl and slapped him and hurt him then will the guy sue him for hitting or will he think him for helping the girl?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
184,This is why I love living in nyc you don‚Äôt get any consequences there,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
185, 32 years ago,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
186,That's Emily Doe from 'Hustle in Brooklyn' she's a model and comedian.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
187,She threw that left straight out of Ali vs Frazier. No need to step in.,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
188,Cheh,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
189,Well if it was real she basically asked for it wearing that üòÇüòÇ,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
190,damn it was a good slap tho,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,
191,"""why you wearing that"" That pissed me off",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
192,Good job for the woman for defending herself but just imagine if the roles were reversed. The woman wouldn't even get into trouble.,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,
193,Person  In danger Other people: Pull out their phone camera,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
194,Funny üòÑ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
195,After the fight... Butt-slapper guy: why did i just slap that for?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
196,i love this youtuber.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
197,Shitttt,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
198,where do these people get the cOnFiDenCe and bRaVeRy to play such stunts in front of so many peoplee?? üòê,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
199,ü§£ü§£ü§£I thought that was you sitting there. I wasn't really sure but I said to myself. Thats the YouTube guy who had that fake baby in the stroller who keep hitting it. But when she slapped you hard I was like....oh hell no this is real. Lol. Nobody didn't need to stand up for her. The way she Slappped you're ass she had all the control. Lol,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
200,I thought this was a planned prank on both ends,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
201,I saw this on his TikTok channel,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
202,YAASSS #womanrights,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
203,i respect that women for slapping that guy real hard if that was not planned,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
204,I wasn‚Äôt mad,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
205,who the hell would were that on the subway,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
206,Instant regret in hes own black friend,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
207,Hes right about us new Yorkers dont care ü§£ü§£ü§£ü§£ but she did what any  ny woman wouldve did if she was ever violated slap the shit out of him,1,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
208,LOVE HOW YOU EDITED GIA RACIST N WORD OUTTA THE AYB TITLE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
209,This makes some people overreact and make a big deal out of nothing üôÑ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
210,why you wearin-‚Äúüî´üóø,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
211,"Youtube ""comedians "" craving for relevancy. The only reason to interfere is to ask her where she found that costume.",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
212,I feel sorry for this guy,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
213,Most us New Yorkers picked up it was fake.We keep our hands to ourselves.Especially when a man is trying to talk to a woman.But her reaction was a realistic New Yorker reaction though.,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
214,Why didnt she take the chancla and use it cause I would have used it,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
215,I can‚Äôt remember the reality show she was on,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
216,If the roles were switched nobody would cae,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
217,New Yorker cold they don‚Äôt have emotion,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
218,Yo you can tell she a New Yorker if she be slapping that dude up,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
219,something happened on the subway in newyork and no one cared,0,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,
220,Dang I really wanted that to be real so glad it‚Äôs fake tho I don‚Äôt think any man would have the balls to do that,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,
221,LIKE REALLY THAT'S YOU HAVE TOO DO. SMDH,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
222,What about indecent exposure? She is the female version of : https://www.youtube.com/watch?v=BV1ZsziAzHQ,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
223,Wait didn‚Äôt he get thrown in a dryer,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
224,Fahqin sickle cells,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
225,This is literally fake üò≠,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
226,Bro that‚Äôs not funny why do men do that?! Slapping girls bUtts is not okay! It‚Äôs nasty,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
227,people turning more and more into robots,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
228,I don't get why everyone should step in?  She handled it just fine herself!  But I've seen real sexual harassment on subways before and observed people ignoring it.  In NYC that's how it is...or how it was when I was there.  It's like that 1967 film The Incident.1,0,0.1,0,0.5,,,,,,,,,,,,,,,,,,,,,,
229,Lmfao these guy ran yall news channels,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
230,As she should purrr,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
231,Men don't do anything cos they dont have female privilege.,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
232,Us New Yorkers don't care,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
233,bruh aint no new yorkers careüòÇ just waisted your time,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
234,This is a no noüò§,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
235,You don't create solutions by perpetuating the problem,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
236,That‚Äôs more like groping. This is disgusting‚Ä¶,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
237,I usually knew it from Beginning it was fake because his face I remember he is from Tiktok,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
238,but if the roles were reversed everyone would be to the woman‚Äôs rescue,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
239,Thank goodness it was fake,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
240,No way princezee and John Stag,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
241,I got straight PTSD for men constantly bothering me I'm extremely beautiful sure but it's not as Glory as people make it out to be,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
242,Is that even a clothe she is wearing,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
243,It's a social experiment,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
244,I know this two,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
245,Look the proble is if u stude up u will get in trouble,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
246,No that dude that slap the girl ass are pranking people they are friends,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
