id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
52;Bro thereâ€™s been literally no facts or anything lmfao. Just literally them saying make women equal. Bruh you're at least equal in fact because of all of this kind of idea men are treated Inequally because people are scared to not please women if you get what I mean.;0;0;1;1
53;This Video is Eyeopening. I am presenting a video On Women Empowerment in Youtube. Could I use some of clip from your Video. Kindly Advise.;1;1;0;0
54;0:08 That has got to be a little exaggeration... at least in most peoples cases.;0;0;0;0
55;oh yeah michel obama who called a women with kids in an icecream parlor a racist because she didn't want to let michel cut the line with her kids imagne that  not letting michel obama cut the line where so many people are waiting for their turn no really imagine that how inconcidered .;0;0;1;0
56;Lmfao âwomen have no rightsâ try saying that with a straight face in family court.;0;0;1;0
57;pov your here because you have to write a speech and you chose woman rights without knowing how hard it would be to write;0;0;0;0
58;Stfu , i miss the 1900 , good old days :(;0;0;1;0
59;I don't understand how women in the US, UK, Canada, Australia, etc....are still complaining about gender inequality?   Especially from all these successful women.   How are women not equal in western countries?   The wage gap is not true and very misleading, there are more women in college than men.   CEOs?   A lot of CEOs started the company....so what's stopping women from starting a business?   There are even special loans specific for women or minorities.   Where is all this supposed oppression?    The woman who got shot for wanting to go to school, or like where women aren't allowed to drive, etc......yes, support  feminist trying to help those woman.   But in the West?   Women have the same opportunities as men.   Women are offended favored in some areas.   Do what you want.....as long as standards are not lowered based on your gender.....go for it, and stop constantly complaining.;0;0.5;1;1
60;First...the indias...has to learn to speak in english, and spanish... and learn to be placed... Incredible those3 who like to be heared, whithout knwoledge...;0;0;1;0
61;Men and women are not equal, we are balance.;0;0;1;0
62;That's a dude;0;0;0;0
63;Lmao I'm fine with woman getting all the rights but these comment people be hating on men for absolutely no reason;0;0;0;1
64;Love Women's Rights;1;0;0;0
65;WHY ARE WE TREATED LIKE PETS;0;0;0;0
66;Dr Shaym. Go watch him. Hopefully I spelled it right xd.;0;0;0;0
67;Oh brother... Here we go again. All you need to do is look at the cartoon characters delivering the sermon. Enough said. mic drop;0;0;0;0
68;When will gender equality will be achieved? When will women get equal rights? When will they get equal freedom?;0;1;0;0
69;Madness;0;0;1;0
70;Shut up;0;0;1;0
71;Why can't I attack back if the women attack first?;0;0;0.5;1
72;Weak..but not surprisingÉ;0;0;1;0
73;BUUUUU;0;0;0;0
74;WOMAN POWER! I'm a feminist;1;1;0;0
75;Its equal we cant hit you we treat you bad;0;0;1;0
76;I honestly dont know what I was thinking 4months ago I deleted the comment for my brain cells' sake;0;0;0;0
77;Hahaha there are more dislikes then likes;0;0;0;0
78;can i use ur video;0;0;0;0
79;0:10 yea in today's time womens are treat with such equality and justice that people just forget men's equality rights. If a man harasses a women -thats a big issue If a women harasses a man- society does not even care. This is dogshit;0;0;1;1
80;The first woman came from a man...just a reminder.;0;0;1;0
81;Guys who have agree with this are Simps;0;0;1;0
82;Stfu;0;0;1;0
83;Gross;0;0;1;0
84;Wow just wow this makes me want to throw up. I'm a female and everybody should know that it takes a man and a woman to make a child. Men should have a say in whether or not their child is born. And if y'all are so for women's rights you should be against abortion because It kill so many women they don't have a choice if they live or die.;0;0.5;0.5;0
