id;text;Support_Women;Defense_Women;Offense_Women;Defense_Against_Women
21;Its crazy bc Loni brought down Shan if i can recollect. they also brought down Julian which they were completely wrong for & when they got called out they are playing victim. Sometimes, its called constructive criticism just bc there are trolls who cant voice an opinion without being insulting doesn’t mean the rest of us are wrong. Amanda, we don’t hate you & I am not trying to bring you down but in that story you were wrong. I feel like you guys are running & claiming we are bringing hate which when i read the comments I saw criticism overweighed the hating and the trolling but i guess yall took it glass half empty. You guys get on people everyday for us voicing their opinion so why isnt it that yall just cant seem to get the point ? When you dont agree its on hate. We are not blind followers even tho we support and watch. Its okay to apologize when you are wrong thats all people were saying. Lets not dig deeper than needed.;0;0;1;0
22;,I get what you guys are saying but at the same time you have to differentiate constructive criticisms vs hate.;0;1;0;0
23;All the way from Africa women empowerment  #love 🔱💯🔱;1;0;0;0
24;Facts, Tamera, Facts!🤗;1;0;0;0
25;Having opinions doesn’t mean “being in misery”...lol.;0;0;0;0
26;�� Yes maaaaaammm😂😂😂❤️❤️;1;0;0;0
27;Yes women should start lifting each other up all the time! Never feel threaten by another woman.;1;1;0;0
28;Tam PLEASE do a CURLY HAIR tutorial on your YouTube channel 😩😩😩❤️❤️❤️ !!!;0;0;0;0
29;Y'all have been talking about the same thing from day one, yet still haven't given any solid ideas on how to unite women. Specifically, how can we change? What can we do to unite? What steps can we take today, tomorrow, next month, next year?;0;1;0;0
30;Wow just wow. The irony and delusion that Amanda has makes me feel sad.;0;0;1;0
31;We love you Loni, Tamara, Jeannie, Amanda and Adrienne 😍🥰😘;1;0;0;0
32;Women should support all women even the one's who voted for President Trump.😂;1;0;0;0
33;Thanks Amanda,I always get hate for looking different one time I wore an afro to and I got called electrocuted and everyone laughed and stared cause no one seen black person do that in my school;1;0;0;0
34;I also don’t compete with other women, I really just do my own thing, and be how I like myself to be. 🤣🤣🤣;1;0;0;0
35;RIP Kobe Bryant;0;0;0;0
36;Could it come from centuries of women competing with each other for husbands - who were their only route to success? Women in the workforce, we can support ourselves pretty well now can't we?  I mean, a woman can choose a man because we love him, not just for his paycheck, right? ;0;0.5;1;0
37;I don't believe women compete as much as men do. I've seen and experienced women sticking with each other a lot more than men. Guys don't rush to each other's side the way we do. But hate is an individual thing, not a gender thing.;0;1;1;0
38;The woman that has been there for me is my self.;0;0;0;0
39;This is really random, but... has anyone noticed how white Adrienne's hand is? Idk I just saw her hand move up close to her face & was taken aback by the contrast. I never really noticed before. 4:15;0;0;0;0
40;Omg that felt like a “get out”moment😩.;0;0;0;0
41;Also, I love Tamera's hair;1;0;0;0
42;So how is Amanda always wearing her hair so tight every day 😟 I can't go a day like this and I'm confused am I just too sensitive;0;0;0;0
43;This moment is Iconic!!♡..;0;0;0;0
44;Everybody has one,Kobe Bryant passed due to a Helicopter crash. Prayers to his family. R. I. P;0;0;0;0
45;I feel like most of the real fans are bi polar, i stopped going to comment section this past few weeks;0;0;1;0
46;I watch this show every time I feel like my life is at an all time low and negative thoughts start clouding my mind but this show always makes me feel better;0;0;0;0
47;Amanda it’s not only women, men also think the same of you;0;0;0;0
48;I wasn’t sure about Amanda in the beginning but I have been watching more and I am really enjoying her. Her first day, when she cried, I cried, and I came back. I might not always agree with her but I appreciate how genuine & authentic she is. She is unapologetically herself and I am here for it.;1;0;0;0
49;Loni is wearing Ade’s earings😍😍😍;0;0;0;0
50;Adrienne’s tiny ass hands 😂;0;0;1;0
51;I loved how Lil Kim and Da Best had her back, beautiful momei❤️;1;0;0;0
52;I loooooove Tamera’s natural hair 🥰🥰🥰🥰;1;0;0;0
53;"I love u amanda you brings some educational ""real advice""";1;0;0;0
54;it's better to have friends to help  you when your feeling down intead of saying negative things. it's better if you don't have anything nice to say son't say anything at all .Just support each other don't put each other down.😘😀😍😘😘;1;0;0;0
55;i love these beautiful strong ladies so much and amanda has been a great addition! i’m excited to see and hear her on the real for many seasons to come;1;0;0;0
56;I remember having a good friend turn on me because men in the office were feeding her information to cause her to be shady and seek to not only destroy my reputation but to make me lose my job. And this has happened in multiple situations.;0;0;1;0
57;Rip Kobe ❤️😔;0;0;0;0
58;Love You All Girls On The Real What Ever Happen ... 🤗😍😉;1;0;0;0
59;All of these women are like ingredients to a meal 🥘 that satisfies my soul. Soul food right, but all the ingredients that goes in to the pot is what each of you represent in your own way and it’s pleasing to taste.;1;0;0;0
60;I love Amanda however I think the negativity towards her stems from the sexual allegations she made against a black doctor with no evidence or background research and then later retracted the statement;1;0;1;0
61;When its negative Loni makes it about black men or people,  but when it comes to uplifting,  she makes it about all women of all races.;0;0;1;0
62;Tam and Aid are glowing 😍🥰;1;0;0;0
63;Love you Tamera ❤️;1;0;0;0
64;I love how Amanda is actually going into it. Because it’s not as simple as saying: “leave behind the people that take you down, focus on who loves you”. We are all a victim of the pull of that toxic competitive space between women. And we as women need to speak about it, identify it, understand where it comes from, and heal together.;1;1;0;0
65;I find Amanda worthy of being listened to, she is a great addition. All that and beautiful.;1;0;0;0
66;,I love what Adrienne said.  👌👌👏👏👏;1;0;0;0
67;Yall should spread this message to Kenya Moore cause I just feel like she needs some loving.;1;0;0;0
68;",""I Love you Amanda!!!! You are being you! When you First came on the show i had to get use to you. I also, felt as thou, you had to get use to your new environment which allowed my opinions/ Comments to come off as being judgemental. Great Job Sis!!! Keep being """"REAL"""" I do apologize If I said, Anything to offend you! Love 💘 Sis😘""";1;0;0;0
69;I wish women would uplift me with kind words 😊;0;0;0;0
70;Listen just because we don't agree with someone of your views doesn't mean that we are toxic or negative.;0;0;0;0
71;You know, I didn't like Amanda as an add on when she first arrived...  I even expressed my feelings about her addition in the comments...  And I just want to say how ashamed I am of that. Even though at the time I thought I meant it, but I actually don't dislike Amanda, I just disliked the change..  And for whatever its worth, I would like to show some new found respect for Amanda. It can't be easy to fit in with 4 other powerful queens and hold your crown high.;1;0;1;0
72;At first I didn't know what to think when Amanda joined The Real. From what I see, she's a great addition to the show and I love watching her and hear8ng her views. Btw Tamara is my ultimate favorite and I hope to meet you in person one day! Keep up the good work ladies;1;0;0;0
73;Lmfaooooo. @ loni checking herself because she was deff bouta make it about black women;0;0;0;0
74;"""That's so dope"". The only vocabulary Adrienne knows. Ughh ";0;0;1;0
75;I like this show frfr;1;0;0;0
76;Safiya;0;0;0;0
77;Tamar is a great addition to the show, people are always mad at any change. She is well-spoken and honest.;1;0;0;0
78;I fucking love Amanda periodt;1;0;0;0
79;For the most part, I thought 'The Real' was cool, but now since Amanda is on it, I super love it again!!! She is hands down my favorite!;1;0;0;0
80;The way to be supportive of other people is to stop being jealous.  Pray to be a better person and just stop competing.  there is nothing wrong with critique.;0;0;0;0
81;I love how the people in their audience and probably watching right not are like “YASSSSSS you go girl. Women should support women” but are the same people that flip on the hosts as soon as they don’t agree with smth they say.;1;1;0;0
82;Aw Loni Is Wearing Adrienne Jewelry Line XiXi Earrings And Necklace 😍;0;0;0;0
83;I love seeing Amanda on the show! If Tamera is comfortable in that side of the table, then I'm ok with it. It took me a minute to get used to it!;1;0;0;0
84;Be sweet and kind but take no shit!,For real. All these bitter girls in COLLEGE are jealous of me because of the clothes I wear.... like obviously they don’t care that much about fashion (most people don’t) so they don’t put all that much effort on themselves but yet they want to be rude and bitter to me? Pathetic! 😆 I stay wearing cute clothes though 🤗;0;0;1;0
85;,I think they’re trying to deflect a lot.. the YouTube comments aren’t always coming from woman’s insecurities they’re just FACTS;0;0;1;0
86;Im not there yet with complimenting women I'm jealous of or dont like. But I keep my jealousy to myself and dont spew hate. If i come across something/someone on the internet that i dont like or that threatens my ego, i just block it or turn it off. Its not that persons fault i got issues. I just pray God doesnt put me in situations where i have no choice but to be in close corners with someone unjustifiably hate. I still wouldnt be mean though(maybe a bit in my head). Id just be distant.;0;0;0;0
87;Shoutout to the women of the Real who choose to come out and inspire others through all the nastiness...to be honest I don't know how y'all do it, but it's admirable and that's why show continues the success it has.;1;0;0;0
88;Yes, Loni, YES!!! You caught yourself and did better - no divisions, just women! 👏👏👏😉;1;0;0;0
89;I agree with Amanda. I use to loveeee reading the comment section of The Real but it’s become soo nasty & hateful for no reason. I just write my comment and keep it pushing because the hate is disgusting for no reason.;0;0;0;0
90;If you’ve seen how Amanda has put other women down, then you know how hypocritical she sounds here.;0;0;1;0
91;Competition come from negativity negativity is from jealousy, the jealousy that you just came in and already improved more faster than when we started in the same job. They are not being real. Women are emotional beings and jealousy is going to be a part of that, so therefore you can say uplift and empower and make her feel special and congratulate her on her improvements and accomplishments , yes when on the inside you are jealous of them getting all of that faster than you ever did. Adrienne, glad she said something about that, but to me that just sounds like what she’s saying is even though you are jealous on the inside congratulate that person (fake smile for that woman’s accomplsihment.). Fake it till ya make it.;1;0;1;0
92;Please get Lilly Singh on the show 💗;0;0;0;0
93;Tell that to all the kids in school and to every medical student and to the nursing students that ask what score you got on your test just to be rude behind your backs. If YOU aren't YOUR biggest competition in life get your priorities straight!;0;0;0;0
94;You can love somebody and still not agree with them 💯.... Everybody's entitled to their own opinion.... It doesn't mean they hate you or think ill of you... That's what's wrong with these kind of television shows... They think everybody's supposed to take their advice and shut up... What's right for you is not always right for me... There's nothing wrong with everybody expressing their own opinion that's why God made us all different.... Different colors different eyes different hair we're all unique in one way or another... We don't live in a hunger games type of society.... So how can you sit up there and tell your viewers to be their self... But then get mad  because they have their own opinion...;0;0;0;0
95;It’s true about what Adrienne said but they compete with Nicki and cardi they are bias towards them it’s obvious they chose cardi because they don’t even praise Nicki like they do cardi imo;0;0;1;0
96;Look mane .. say what yawl want but Ms.Amanda is the perfect addition to this table . She speaks real truth !! She speaks facts ! She is educated ! She has logical comments and as a black women .. she has a right to articulate the issues and struggles in regards to the intersections of being both black and female ! PERIODT ! Cousin Amanda we see you sis !!!;1;0;0;0
97;I really hope they don't do Amanda like they did Tamar. She's my favorite on this show 🧡;1;0;0;0
98;Please help a victimized 6yo boy   A six year old boy disclosed to his parents that he was abused and neglected by multiple people in the home of a family member, and tormented by the teanage boy in the home. ;0;0;0;0
99;So positive. It is extremely rare in India. Because of lack of resources and high corruption every woman is just enemy of another woman.;0;0;1;0
100;Amanda is still blah to me;0;0;1;0
101;healthy competition is good. you can encourage each other to get better.;0;0;0;0
102;We do need to support each other especially black women but I’m far more concerned with staying on code. You can disagree with another women but do not drag them publicly.;0;0;1;0
103;"Yep! A. Plus she's not your enemy even if she does something you can't or if she does it better. Just be confident and secure in ourselves. Spin on a proverb ""Perfect love throws out fear"" to me is this";1;0;0;0
104;The real is missing out on Tamar , Tamar was funny, outspoken, and just a natural but you could tell sometimes the girls didn't like Tamar maybe because she was so likeable to the audience and naturally the center of attention , loni has a control issue she wants to be the center but she's not it .;1;0;0;0
105;Amanda was just was the real daytime needed💗💗;1;0;0;0
106;Speaking about women supporting women, I see you Loni, sporting Adrienne's XIXI jewelry collection 🥰😍 I've seen just about all of them support Adrienne's earrings/jewelry and I love how they're actually friends and support each other.;1;0;0;0
107;My take on this is besides the obvious ragging of Amanda, the problem goes beyond this platform. Women are just plain rude to other women. We gossip about each other constantly. We tend to have distrust towards each other (which I am very guilty of), we don’t know how to have healthy relationships with each other. It is a problem. A problem that needs to be fixed because we are powerful beings and we should respect each other more because we share in the same struggle. Yet we spew so much hate to each other, it is hard to claw ourselves out of the pit society has dropped us in. When will it change. Me no know...;0;0;1;0
108;So true Amanda some woman will never get this there even going to tear this post down;0;0;1;0
109;I feel like the real got really political and focused on only problems that don't matter. What happened to the funny real?;0;0;0;0
110;I wonder what Jeannie was going to say @4:01;0;0;0;0
111;Somebody needs to address why sites like gurugossip exists and it's mostly women trashing other women in there. so sad.;0;1;0;0
112;Good discussion wish it was longer;0;0;0;0
113;Sounds like they were talking about eachother;0;0;0;0
114;"Of course, women and minorities are very competitive and hypercritical of one another. It frustrates me that we don't see where this energy comes from. Society used to be solely led by white men. This was legal, intentional, and written into the fabric of society. In the past, only select, very talented people could rise to the pinnacle of success. It was not an open platform. It was established that one woman met a quota and two were too much representation. We were not given the opportunity to lift one another without jeopardizing ourselves. So YES, support other women and minorities BUT also hold them accountable. OUR society cannot handle criticism and its damaging progress and evolution. Empowering women does not mean we should empower vapid behavior and decisions because that is not ""support"", it is enabling.";1;0;1;0
115;Such hypocrites. They don't want any negative comments about themselves but are absolutely ok with tearing someone down on their talkshow. Real talk.;0;0;1;0
116;"Amanda looking like ""I'm BLACK first"" ...";0;0;0;0
117;Well Amanda you have a public job and your job is entertainment people are giving their review okayand if you like if we talk about what we want to see then we get what we want to see like honestly so far I feel like you're just not messing with the other hosts of the real like I know it's unfair to you but that's just the truth people have opinions because it's an entertainment show now if it was just like your job like okay you're a doctor that'sdifferent cuz regardless of how I feel you have to be there now with this show if people aren't feeling your vibe they can say that and hope that maybe some Creator somewhere with going to be like oh okay maybe that's try something else it's all I'm saying nothing against you personally I just feel that people allowed to give their reviews;0;0;0.5;0
118;It is called jealousy people....... who honestly has the time for that.;0;0;0;0
119;Amanda gives me Jamaican restaurant server face.;0;0;1;0
120;Criticism is not always negative;0;0;0;0
121;My coworkers are women and are really toxic and hateful. Is it worth it if stay working around people like that or should I just focus on my work and keep going? I am considering on quitting just because the environment is very heavy and it makes me miserable;0;0;1;0
122;Women support other women? Lmao jk jk This is good 👑;0;0;1;0
123;I would say out this panel Loni tends to put women down.;0;0;1;0.5
124;I feel like a lot of people don't like change. As far as what Amanda was saying. I'm guilty of that because I liked when Tamar was on the show and I stopped watch for a little bit because if wasn't the same without her and then getting used to it just being the four of them and now them adding on another cohost. I don't think it is toward  her exactly because I feel like if they put any other woman on people would be bad mouthing that person as well. It's just hard to deal with change a lot of the time. But she is a good candidate because she is a little younger (no shade!) And has great perspectives on the now. I did feel like everytime Jeanie spoke she would make faces and I didn't like that. But I think that's just how she is. At the end of the day if you don't like the new addition you don't have to watch.;1;1;0;0
125;Amanda f@ck the haters!!!! You are a great addition to this show!  Keep doing you boo!;1;0;0;0
126;Lil Kim looks fucking crazy I can’t even tell it’s her;0;0;1;0
127;Love tamera;1;0;0;0
128;Just because a woman does the SAME thing as you DOESNT make her your competition?🤐🤐🤐 yes... it does.😒😐 I guess she meant that “ no one can do the SAME as you.” I hope cause she slow.;0;1;1;0
129;"Amanda, I don't know if you will see this, I think you are a great addition to ""The Real"". I believe that your intelligence triggers people and when you're not ready to do the work, it's comes out nasty and venomous. Continue to be authentic as I know you will be. Love and blessings from a fellow🇬🇩🇹🇹🙇🏾‍♀️💞";1;0;0;0
130;Amanda was comparing kim to beyonce the other day so what are you saying????;0;0;1;0
131;Amanda always find away to make it about her 😒;0;0;1;0
132;Bro life has to compete men compete. What are yall talking about. So yall going to late another show take u down. U dont have to support just dont talk bad about them that's all;0;1;0;0
133;Still waiting for Amanda to apologize for accusing Jillian Michaels of being a racist out of nowhere. That wasn't nice OR constructive and YOU put that out there. Stop playing the victim Amanda. It's not like we got angry for no reason. Letting slanderous accusations like that go unaddressed is setting a dangerous precedent where you can accuse someone of being a racist just because you dont like what they're saying. Now you're out here gaslighting the viewers who dont know what happened and making it sound like everyone criticizing you are just haters instead of having a valid reason to do so.;0;0;1;0
134;So now men r the reason why women r competing against each other?;0;0;0;1
135;WHATS WRONG WITH BEING COMPETITORS IN A COMPETITIVE INDUSTRY LIKE ENTERTAINMENT. WHY DO YOU HAVE TO COOPERATE;0;0;0;0
136;Black people are special????WE ARE ALL SPECIAL!!!!!!!!;0;0;0;0
137;Loni decided to say most black men cheat and went viral. Hello Loni did you ever think how you made Jeanie feel when she is dating a black man Jeezy. Loni you lack basic black history knowledge read a book about your people. Just because you date a white man doesn't mean you won't get cheated on because I'm sure James is ready to leave but doesn't want the public embrassment. Not having kids and a husband shows weaknesses. At your age put down the brown liquor and bacon strips so you can give Amanda a break on the black history lessons while on line so we can get a damn break. Your show is now exhausting. Stop think Amanda makes you look more black o more black history educated because no you look bad up there and like your def getting paid under the stable for the racism you get to spread for your white bosses. Don't come for any race until you stop drinking liquor and get on diet with excerise because to get away with the crap you say you have to be an example not a joke. Everyone is laughing at you if you didn't noticed. Poor James he gets burned with all the hate you spew on TV. James deserves peace not controversy. No one cares you date home but now they sure do with your black on black put downs. Poor Amanda try live but gotta be Lonis blavk history teacher everytime on air. Don't worry Amanda you will get your peace soon.;0;1;0;0
138;One thing I will say about women of color in NYC is they will compliment you on the street. No where else in the world have I had random women tell me my shoes, hair, makeup, etc is dope the way women in NY have. Probably not something you'd expect when you think of this city, but I promise you it makes me feel good every time, and has made me so much more likely to compliment women as well.;1;0;0;0
139;Leave Amanda alone!!!! Y’all already got my Tamar fired, now y’all are after Amanda. I’m starting to think that some of these “so called fans” just don’t like educated, strong Black women or anyone that appears Black. This is the same hate I’ve experienced and so many others. But, we are not going anywhere. So, either get with the program, don’t watch it, Or learn to share your viewpoints without being rude and nasty. The Real will be fine, they have other viewers besides all these negative ones.;0;1;0;0
140;The real watchers weren’t ready for the wokeness that IS Amanda ✌🏼 Lol she is a whole new level these ladies don’t even understand yet. Thanks for adding her on!!!;1;0;0;0
141;I mean regarding the critisim on Amanda in the comments, people fear intelligence and thats the only thing I see as a constant regarding Amanda in my opinion. Hope to see more of her views.;1;1;0;0
142;You ok Amanda in all yall on the real dont let these negative comments get to u you because u keeping it real in they want sum sugar coated bs dont let that that change u or the way feel about things 🥰🙏;1;1;0;0
143;Amanda has Attitude issues ! Whats Up with those facial Expression .. Like a todler who cant Express themself outside of there Emotion�;0;0;1;0
144;I do not enjoy women not supporting other women. All women should support each other because we all are beautiful Queens and deserve the best in life. We  as women should not see other women a competition. Remember no matter what it is;1;1;0;0
145;I am sorry for you girls because you have veerryyy naaaastyyyy and mean fans;0;0;1;0
146;Can Amanda wear another hair style?  Please just comb your hair.;0;0;1;0
147;"Love Amanda Seales on the show. She brings a progressive edge to the table and challenges the status quo with logic and reasoning. Everyone should check out her podcast ""small doses"" for weekly truth gems by the way. She is the activist the Real needs.";1;0;0;0
148;And here goes the hate in 5..4...3...2......;0;0;0;0
149;It’s funny that they wanna preach “women supporting women”... when all they do is bully ppl about their views unless they are  black !! Coming from someone who is black, these hosts hate other races especially white ppl for some reason... must be insecurity coming out🤫;0;0;1;0
150;So yaull can start by letting white woman help take up for black rights because im pretty sure loni said at one point that she dont need no help from white women. Sooooo lets practice what you preach allll women should help eachother regardless of your race lets embrace eachother;1;0;0;0
151;But Tamera😭you blocked me on IG for no reason.... all i asked was if you voted trump?!😔;0;0;0;0
152;They should have an Indian female co host or an LGBTQ female presenter.;0;0;0;0
153;The other side of that story u told.. https://youtu.be/pYbKmcZYL_8;0;0;0;0
154;I think Amanda needs a whole new glam, wardrobe and hair squad she looks. Bit off;0;0;1;0
155;women hate other women. they only come together against men.🙄😂😂😂;0;0;1;0
156;Y’all can have opinions but not people in the comments ?;0;0;0;0
157;Look don’t care about what you people say just make sure the information is correct. And stop tormenting people with Inaccurate information posted on YouTube and don’t get me started on useless sitcoms or movies onNetflix. You cannot just vomit words, do your research before making movies or  Move on to things you have knowledge of. Cause most people have. It is okay to close down the show if you have nothing authentic to contribute to entertainment.;0;0;1;0
158;WTH WAS THAT FACE AMANDA WAS MAKING @ 0:58 !!  UGH..;0;0;1;0
159;Loni is always looking at Amanda like a proud mama when she is speaking her truth! Yes ladies!;1;0;0;0
160;I don't want to hear it I don't,You can't dismiss race when talking about women.;0;0;0;0
161;Its really getting too serieus. Love the more casual girl chat. This is annoying. If i want something more serieus i’ll watch the vieuw...🤔😩 sorry;0;0;0;0
162;I feel bad cus they basically hate the black women on the panel, they go harder on black women then the other women, Jeannie and Adrienne have said some problematic stuff but everyone brushes it off. Let Tam, Loni or Amanda breathe and women attack them so harshly its deffo a race thing.;0;0.5;1;0
163;Amanda, you rock. Don’t listen to anyone but your heart.;1;1;0;0
164;🗣🗣🗣Amanda the fans/viewers can CRITIQUE your opinions!!;0;0;0;0
165;Ok, let me say something, I don't like the women need to support other women girl just because we both have a vagina doesn't mean, I gotta support you, I'll support you because your good person, I just, I never liked, that ever since, I was a kid,;0;0;1;0
166;Why don’t you just turn lesbian so you could be around women all the time;0;0;1;0
167;I swear all Amanda does is complain the entire time and has made this show so boring!!!!!! She brings everything down into a negative space and talks about depressing things like isn’t this supposed to be an entertainment show not the news. I’m sure Amanda is a nice person but I don’t think she is a good fit on the show sorry.;0.5;0;1;0
168;Amanda is Negative all negative f you mean???? Always talking about black girl this black people that like be inclusive;0;0;1;0
169;First;0;0;0;0
170;amanda dear.... we are trying to give you CONSTRUCTIVE CRITICISM , the fact you roll your eyes at the other hosts and make stank faces and playing violins while other try to make a point is RUDE AND CATTY and doesnt help your good points...  please accept our advice to you.;0;0;1;0
171;I dont care, I still dont like Amanda on the show.;0;0;1;0
172;The only thing that bugs me about Amanda isn’t her opinions. It’s the fact is that most her opinions come off very condescending. Like, you can express your opinions without putting other people down for there’s and you can stop making faces when someone says something you don’t agree with.;0;0;1;0
173;We don't like you, Amanda. We want Tamar. She can never be replaced.;0;0;1;0
174;I think Adrienne compliments Amanda because she is intimidated by her. You know how insecure and jealous women will constantly compliment you.;0;0;1;0
175;I don’t like her bring tamar back;0;0;1;0
